AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
2200143897014,81,30,*,22,43,72,66,0,6,37,81,40,6,23,9,14,19,24,24,24,24,24,81
2200143897015,39,11,0,11,21,35,32,*,3,20,39,16,3,9,3,5,9,11,10,11,11,11,39
2200143897016,63,22,*,14,29,58,58,0,0,26,63,28,3,20,4,6,14,20,21,21,21,21,63
2200143897017,101,37,*,23,48,80,72,*,5,48,98,47,*,27,8,13,23,26,28,28,28,27,98
2200143897018,35,16,0,3,15,28,25,0,3,12,35,20,0,9,*,*,7,9,8,9,9,9,35
2200143897019,37,11,0,5,16,30,30,0,0,20,34,16,*,9,*,4,8,9,11,11,11,11,34
2200143897020,56,22,*,10,28,42,39,0,3,28,56,20,*,15,7,10,12,15,16,16,16,16,56
2200143897021,44,14,0,10,23,30,17,0,13,21,44,20,3,15,3,4,13,13,15,15,15,15,44
2200143897022,34,10,0,10,19,23,23,0,0,16,34,19,*,9,*,5,7,9,11,11,11,11,34
2200143897023,82,32,*,35,35,69,61,6,*,38,82,40,4,23,7,13,20,24,24,24,24,24,82
2200143897024,21,8,0,11,12,20,17,0,0,10,21,16,*,9,4,5,6,8,9,9,9,7,21
2200143897025,37,12,*,11,22,26,26,0,0,14,37,16,*,12,3,7,9,12,12,12,12,12,37
2200143897026,31,8,0,12,19,30,27,3,0,14,31,16,*,9,4,6,8,10,10,10,10,10,31
2200143897027,59,24,0,13,28,54,49,*,6,30,59,32,3,15,6,5,13,16,16,16,16,16,59
2200143897028,59,23,0,10,26,45,45,0,0,24,56,20,0,16,0,4,10,14,16,16,16,15,56
2200143897029,35,7,0,3,15,28,27,0,*,15,29,20,*,12,*,6,4,11,12,12,12,12,29
2200143897030,47,14,*,9,21,33,30,0,3,22,47,22,*,14,*,6,10,15,15,15,15,15,47
2200143897031,36,6,0,8,21,32,17,*,3,16,36,23,*,14,6,6,9,14,15,15,15,15,36
2200143897032,61,20,0,10,35,43,24,*,14,33,61,24,*,19,4,7,15,19,18,20,20,20,61
2200143897033,30,11,0,10,15,21,17,0,0,18,30,12,*,8,6,6,7,9,9,9,9,9,30
2200143897034,34,10,0,16,20,29,29,0,0,20,34,16,3,10,0,5,8,10,10,10,10,10,34
2200143897035,62,22,*,18,30,54,54,0,0,32,59,26,*,19,5,6,13,18,19,19,19,19,59
